id;nama_Universitas
111;Universitas Syiah Kuala
112;Universitas Malikussaleh
113;Universitas Teuku Umar
114;Universitas Samudra
115;Isbi Aceh
116;Universitas Islam Negeri Ar-Raniry
121;Universitas Sumatera Utara
122;Universitas Negeri Medan
123;Universitas Islam Negeri Sumatera Utara
131;Universitas Riau
132;Universitas Islam Negeri Sultan Syarif Kasim
133;Universitas Maritim Raja Ali Haji
141;Universitas Andalas
142;Universitas Negeri Padang
143;Isi Padang Panjang
144;Universitas Islam Negeri Imam Bonjol Padang
151;Universitas Jambi
152;Universitas Islam Negeri Sultan Thaha Saifuddin Jambi
161;Universitas Bengkulu
171;Universitas Sriwijaya
172;Universitas Islam Negeri Raden Fatah
181;Universitas Bangka Belitung
191;Universitas Lampung
192;Institut Teknologi Sumatera
193;Universitas Islam Negeri Raden Intan Lampung
311;Universitas Sultan Ageng Tirtayasa
312;Universitas Islam Negeri Sultan Maulana Hasanuddin Banten
321;Universitas Indonesia
322;Universitas Islam Negeri Jakarta
323;Universitas Negeri Jakarta
324;"Upn ""Veteran"" Jakarta"
331;Universitas Singaperbangsa Karawang
332;Institut Teknologi Bandung
333;Universitas Padjadjaran
334;Universitas Pendidikan Indonesia
335;Isbi Bandung
336;Universitas Islam Negeri Sunan Gunung Djati
341;Institut Pertanian Bogor
342;Universitas Siliwangi
351;Universitas Jenderal Soedirman
352;Universitas Tidar
353;Universitas Sebelas Maret
354;Isi Surakarta
355;Universitas Diponegoro
356;Universitas Negeri Semarang
357;Universitas Islam Negeri Walisongo
358;Universitas Islam Negeri Raden Mas Said Surakarta
361;Universitas Gadjah Mada
362;Universitas Negeri Yogyakarta
363;"Upn ""Veteran"" Yogyakarta"
364;Isi Yogyakarta
365;Universitas Islam Negeri Sunan Kalijaga
371;Universitas Jember
372;Universitas Brawijaya
373;Universitas Negeri Malang
374;Universitas Islam Negeri Malang
381;Universitas Airlangga
382;Institut Teknologi Sepuluh Nopember
383;Universitas Negeri Surabaya
384;Universitas Trunojoyo Madura
385;"Upn ""Veteran"" Jawa Timur"
386;Universitas Islam Negeri Sunan Ampel Surabaya
511;Universitas Tanjungpura
521;Universitas Palangkaraya
531;Universitas Lambung Mangkurat
532;Universitas Islam Negeri Antasari Banjarmasin
541;Universitas Mulawarman
542;Institut Teknologi Kalimantan
551;Universitas Borneo Tarakan
611;Universitas Udayana
612;Universitas Pendidikan Ganesha
613;Isi Denpasar
621;Universitas Mataram
631;Universitas Nusa Cendana
632;Universitas Timor
711;Universitas Hasanuddin
712;Universitas Negeri Makassar
713;Universitas Islam Negeri Alauddin
718;Institut Teknologi Bj. Habibie Sulawesi Selatan
721;Universitas Sam Ratulangi
722;Universitas Negeri Manado
731;Universitas Tadulako
732;Universitas Islam Negeri Datokarama Palu
741;Universitas Sulawesi Barat
751;Universitas Haluoleo
752;Universitas Negeri Gorontalo
753;Universitas Sembilan Belas November Kolaka
811;Universitas Pattimura
821;Universitas Khairun
911;Universitas Cenderawasih
912;Universitas Musamus Merauke
913;Isbi Tanah Papua
921;Universitas Papua
